bairro_id,data,notificados,clinicos,lab,bairro
1,Oct-12,1,0,0,Aerolândia
1,Oct-13,0,0,0,Aerolândia
1,Jan-13,5,3,1,Aerolândia
1,Jan-12,10,8,2,Aerolândia
1,May-13,24,20,0,Aerolândia
1,May-12,656,623,5,Aerolândia
1,Aug-13,13,3,0,Aerolândia
1,Aug-12,8,5,1,Aerolândia
1,Jun-13,10,2,1,Aerolândia
1,Jun-12,151,143,4,Aerolândia
1,Jul-13,7,2,3,Aerolândia
1,Jul-12,9,8,0,Aerolândia
1,Nov-13,0,0,0,Aerolândia
1,Nov-12,2,1,1,Aerolândia
1,Sep-12,2,1,0,Aerolândia
1,Sep-13,4,1,1,Aerolândia
1,Apr-13,30,22,0,Aerolândia
1,Apr-12,172,154,9,Aerolândia
1,Dec-12,2,2,0,Aerolândia
1,Dec-13,0,0,0,Aerolândia
1,Mar-12,44,39,1,Aerolândia
1,Mar-13,12,6,0,Aerolândia
1,Feb-13,7,1,0,Aerolândia
1,Feb-12,10,7,0,Aerolândia
2,Oct-12,0,0,0,Aeroporto
2,Oct-13,0,0,0,Aeroporto
2,Jan-13,0,0,0,Aeroporto
2,Jan-12,1,0,1,Aeroporto
2,May-13,0,0,0,Aeroporto
2,May-12,10,6,0,Aeroporto
2,Aug-13,0,0,0,Aeroporto
2,Aug-12,1,1,0,Aeroporto
2,Jun-13,1,0,0,Aeroporto
2,Jun-12,2,0,0,Aeroporto
2,Jul-13,0,0,0,Aeroporto
2,Jul-12,1,0,1,Aeroporto
2,Nov-13,0,0,0,Aeroporto
2,Nov-12,0,0,0,Aeroporto
2,Sep-12,0,0,0,Aeroporto
2,Sep-13,0,0,0,Aeroporto
2,Apr-13,1,1,0,Aeroporto
2,Apr-12,4,1,1,Aeroporto
2,Dec-12,0,0,0,Aeroporto
2,Dec-13,0,0,0,Aeroporto
2,Mar-12,0,0,0,Aeroporto
2,Mar-13,3,0,0,Aeroporto
2,Feb-13,1,0,0,Aeroporto
2,Feb-12,0,0,0,Aeroporto
3,Oct-12,1,1,0,José de Alencar
3,Oct-13,0,0,0,José de Alencar
3,Jan-13,0,0,0,José de Alencar
3,Jan-12,0,0,0,José de Alencar
3,May-13,21,3,3,José de Alencar
3,May-12,50,47,0,José de Alencar
3,Aug-13,6,2,1,José de Alencar
3,Aug-12,0,0,0,José de Alencar
3,Jun-13,26,3,1,José de Alencar
3,Jun-12,18,16,1,José de Alencar
3,Jul-13,13,4,1,José de Alencar
3,Jul-12,2,2,0,José de Alencar
3,Nov-13,0,0,0,José de Alencar
3,Nov-12,0,0,0,José de Alencar
3,Sep-12,0,0,0,José de Alencar
3,Sep-13,1,0,0,José de Alencar
3,Apr-13,8,2,0,José de Alencar
3,Apr-12,19,19,0,José de Alencar
3,Dec-12,1,1,0,José de Alencar
3,Dec-13,0,0,0,José de Alencar
3,Mar-12,1,1,0,José de Alencar
3,Mar-13,7,2,0,José de Alencar
3,Feb-13,0,0,0,José de Alencar
3,Feb-12,0,0,0,José de Alencar
4,Oct-12,2,0,0,Aldeota
4,Oct-13,0,0,0,Aldeota
4,Jan-13,8,0,1,Aldeota
4,Jan-12,6,5,1,Aldeota
4,May-13,33,7,2,Aldeota
4,May-12,188,137,29,Aldeota
4,Aug-13,25,1,6,Aldeota
4,Aug-12,2,2,0,Aldeota
4,Jun-13,36,9,5,Aldeota
4,Jun-12,49,40,3,Aldeota
4,Jul-13,27,1,5,Aldeota
4,Jul-12,14,10,1,Aldeota
4,Nov-13,0,0,0,Aldeota
4,Nov-12,0,0,0,Aldeota
4,Sep-12,1,1,0,Aldeota
4,Sep-13,5,1,1,Aldeota
4,Apr-13,44,14,4,Aldeota
4,Apr-12,84,61,12,Aldeota
4,Dec-12,0,0,0,Aldeota
4,Dec-13,0,0,0,Aldeota
4,Mar-12,25,18,3,Aldeota
4,Mar-13,19,5,0,Aldeota
4,Feb-13,8,1,0,Aldeota
4,Feb-12,6,3,1,Aldeota
5,Oct-12,0,0,0,Alto da Balança
5,Oct-13,0,0,0,Alto da Balança
5,Jan-13,0,0,0,Alto da Balança
5,Jan-12,0,0,0,Alto da Balança
5,May-13,2,0,0,Alto da Balança
5,May-12,36,27,5,Alto da Balança
5,Aug-13,0,0,0,Alto da Balança
5,Aug-12,0,0,0,Alto da Balança
5,Jun-13,0,0,0,Alto da Balança
5,Jun-12,5,5,0,Alto da Balança
5,Jul-13,3,0,2,Alto da Balança
5,Jul-12,0,0,0,Alto da Balança
5,Nov-13,0,0,0,Alto da Balança
5,Nov-12,0,0,0,Alto da Balança
5,Sep-12,1,1,0,Alto da Balança
5,Sep-13,0,0,0,Alto da Balança
5,Apr-13,1,0,0,Alto da Balança
5,Apr-12,9,5,3,Alto da Balança
5,Dec-12,1,0,0,Alto da Balança
5,Dec-13,0,0,0,Alto da Balança
5,Mar-12,1,0,1,Alto da Balança
5,Mar-13,1,0,0,Alto da Balança
5,Feb-13,1,0,0,Alto da Balança
5,Feb-12,1,0,1,Alto da Balança
6,Oct-12,1,1,0,Álvaro Weyne
6,Oct-13,0,0,0,Álvaro Weyne
6,Jan-13,1,0,0,Álvaro Weyne
6,Jan-12,8,2,6,Álvaro Weyne
6,May-13,24,10,1,Álvaro Weyne
6,May-12,213,181,17,Álvaro Weyne
6,Aug-13,12,2,5,Álvaro Weyne
6,Aug-12,1,0,1,Álvaro Weyne
6,Jun-13,14,6,1,Álvaro Weyne
6,Jun-12,44,43,0,Álvaro Weyne
6,Jul-13,20,4,9,Álvaro Weyne
6,Jul-12,2,2,0,Álvaro Weyne
6,Nov-13,0,0,0,Álvaro Weyne
6,Nov-12,2,0,0,Álvaro Weyne
6,Sep-12,0,0,0,Álvaro Weyne
6,Sep-13,4,1,0,Álvaro Weyne
6,Apr-13,15,7,1,Álvaro Weyne
6,Apr-12,254,223,18,Álvaro Weyne
6,Dec-12,0,0,0,Álvaro Weyne
6,Dec-13,0,0,0,Álvaro Weyne
6,Mar-12,82,59,15,Álvaro Weyne
6,Mar-13,9,4,0,Álvaro Weyne
6,Feb-13,1,0,1,Álvaro Weyne
6,Feb-12,35,17,14,Álvaro Weyne
7,Oct-12,1,0,1,Amadeu Furtado
7,Oct-13,0,0,0,Amadeu Furtado
7,Jan-13,0,0,0,Amadeu Furtado
7,Jan-12,1,0,0,Amadeu Furtado
7,May-13,2,0,1,Amadeu Furtado
7,May-12,32,20,8,Amadeu Furtado
7,Aug-13,3,2,1,Amadeu Furtado
7,Aug-12,0,0,0,Amadeu Furtado
7,Jun-13,3,2,1,Amadeu Furtado
7,Jun-12,2,2,0,Amadeu Furtado
7,Jul-13,2,1,0,Amadeu Furtado
7,Jul-12,0,0,0,Amadeu Furtado
